[2015-01-22 19:19:23] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:19:29] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:19:48] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:19:52] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:22:31] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:24:37] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:24:57] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:25:14] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:25:25] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:25:28] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:25:37] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:33:22] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:33:25] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:39:03] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:39:12] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:39:22] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:39:25] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:39:36] EDIT Frick/views/default/lightbox.html: 2
[2015-01-22 19:40:01] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:40:47] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:42:00] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:42:15] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:42:35] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:42:38] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:42:40] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:42:55] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:42:58] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:45:53] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 19:46:25] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:46:32] EDIT Frick/views/default/lightbox.html: -1
[2015-01-22 19:46:33] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 19:47:26] EDIT Frick/views/default/lightbox.html: 7
[2015-01-22 20:39:08] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 20:58:01] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 20:58:03] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 21:59:44] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:00:26] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:01:04] EDIT Frick/views/default/lightbox.html: 3
[2015-01-22 22:01:06] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:09:31] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:09:34] EDIT Frick/views/default/lightbox.html: 2
[2015-01-22 22:09:37] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:09:48] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:09:52] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:11:32] EDIT Frick/views/default/lightbox.html: 4
[2015-01-22 22:12:39] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:12:42] EDIT Frick/views/default/lightbox.html: 2
[2015-01-22 22:15:27] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:15:36] EDIT Frick/views/default/lightbox.html: 1
